table_name,feature_name,data_type,description,calculation,data_source,granularity,used_for_modeling,nullable
user_features,user_id,int64,User identifier.,grouping key: user_id,data/processed/user_behavior_clean.parquet (CSV fallback),user,False,False
user_features,user_total_count,int64,All user behaviors.,count(*),data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_pv_count,int64,User page-view count.,sum(behavior_name = 'pv'),data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_fav_count,int64,User favorite count.,sum(behavior_name = 'fav'),data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_cart_count,int64,User add-to-cart count.,sum(behavior_name = 'cart'),data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_buy_count,int64,User purchase count.,sum(behavior_name = 'buy'),data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_unique_item_count,int64,Distinct items interacted with by the user.,nunique(item_id),data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_unique_category_count,int64,Distinct categories interacted with by the user.,nunique(category_id),data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_active_day_count,int32,Distinct active dates for the user.,nunique(behavior_date),data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_first_behavior_time,datetime64[ns],First observed behavior time.,min(time),data/processed/user_behavior_clean.parquet (CSV fallback),user,False,False
user_features,user_last_behavior_time,datetime64[ns],Last observed behavior time.,max(time),data/processed/user_behavior_clean.parquet (CSV fallback),user,False,False
user_features,user_recency_hours,float64,Hours from the last behavior to the shared reference time.,hours(recency_reference_time - max(time)),data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_fav_to_pv_rate,float64,Favorites per page view.,user_fav_count / user_pv_count; 0 when denominator is 0,data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_cart_to_pv_rate,float64,Add-to-cart actions per page view.,user_cart_count / user_pv_count; 0 when denominator is 0,data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_buy_to_pv_rate,float64,Purchases per page view.,user_buy_count / user_pv_count; 0 when denominator is 0,data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_is_buyer,uint8,Whether the user has at least one purchase.,1 if user_buy_count >= 1 else 0,data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
user_features,user_is_repeat_buyer,uint8,Whether the user has at least two purchase records.,1 if user_buy_count >= 2 else 0,data/processed/user_behavior_clean.parquet (CSV fallback),user,True,False
item_features,item_id,int64,Item identifier.,grouping key: item_id,data/processed/user_behavior_clean.parquet (CSV fallback),item,False,False
item_features,category_id,int64,Canonical category of the item.,most frequent category_id per item_id; smallest id breaks ties,data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
item_features,item_total_count,int64,All item behaviors.,count(*),data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
item_features,item_pv_count,int64,Item page-view count.,sum(behavior_name = 'pv'),data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
item_features,item_fav_count,int64,Item favorite count.,sum(behavior_name = 'fav'),data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
item_features,item_cart_count,int64,Item add-to-cart count.,sum(behavior_name = 'cart'),data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
item_features,item_buy_count,int64,Item purchase count.,sum(behavior_name = 'buy'),data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
item_features,item_unique_user_count,int64,Distinct users interacting with the item.,nunique(user_id),data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
item_features,item_unique_buyer_count,int64,Distinct users purchasing the item.,nunique(user_id where behavior_name = 'buy'),data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
item_features,item_active_day_count,int32,Distinct dates on which the item had activity.,nunique(behavior_date),data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
item_features,item_fav_to_pv_rate,float64,Item favorites per page view.,item_fav_count / item_pv_count; 0 when denominator is 0,data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
item_features,item_cart_to_pv_rate,float64,Item add-to-cart actions per page view.,item_cart_count / item_pv_count; 0 when denominator is 0,data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
item_features,item_buy_to_pv_rate,float64,Item purchases per page view.,item_buy_count / item_pv_count; 0 when denominator is 0,data/processed/user_behavior_clean.parquet (CSV fallback),item,True,False
category_features,category_id,int64,Category identifier.,grouping key: category_id,data/processed/user_behavior_clean.parquet (CSV fallback),category,False,False
category_features,category_total_count,int64,All category behaviors.,count(*),data/processed/user_behavior_clean.parquet (CSV fallback),category,True,False
category_features,category_pv_count,int64,Category page-view count.,sum(behavior_name = 'pv'),data/processed/user_behavior_clean.parquet (CSV fallback),category,True,False
category_features,category_fav_count,int64,Category favorite count.,sum(behavior_name = 'fav'),data/processed/user_behavior_clean.parquet (CSV fallback),category,True,False
category_features,category_cart_count,int64,Category add-to-cart count.,sum(behavior_name = 'cart'),data/processed/user_behavior_clean.parquet (CSV fallback),category,True,False
